intention_id,cu_id
int_bbb7a05b9711,cu_mat12_1_b8009f060cde
int_40e2f395642d,cu_mat12_1_b8009f060cde
int_de62e346f681,cu_mat12_1_b8009f060cde
int_f3409f5a92bd,cu_mat12_1_b8009f060cde
int_cfc4efc205e7,cu_mat12_1_b8009f060cde
int_b2879ff44edb,cu_mat12_1_b8009f060cde
int_d8abf2b928e9,cu_mat12_1_b8009f060cde
int_116633876adf,cu_mat10_1_863388852cd1
int_67bfe8109e0b,cu_mat10_1_863388852cd1
int_5a4ccdb39c21,cu_mat10_1_863388852cd1
int_0931d9cbc8ec,cu_mat10_1_863388852cd1
int_d6928e265b5b,cu_mat10_1_863388852cd1
int_ddab02595af2,cu_mat10_1_863388852cd1
int_341bff715c82,cu_mat10_1_863388852cd1
int_815087e2641a,cu_mat10_1_863388852cd1
int_b32bd6b30158,cu_mat10_1_863388852cd1
int_f3e364feb08e,cu_mat10_1_863388852cd1
int_d86336777452,cu_mat10_1_863388852cd1
int_47a8784dbcc2,cu_mat10_1_863388852cd1
int_2c24ebb0b5c1,cu_mat13_1_7fed6a0ee315
int_22ed40c627cf,cu_mat13_1_7fed6a0ee315
int_df238945ea49,cu_mat13_1_7fed6a0ee315
int_3c6a768d7386,cu_mat13_1_7fed6a0ee315
int_df5597f46f7a,cu_mat13_1_7fed6a0ee315
int_2c06c6ff4a97,cu_mat13_1_7fed6a0ee315
int_6c95b6868629,cu_mat13_1_7fed6a0ee315
int_960b4967e715,cu_mat13_1_7fed6a0ee315
int_769ec4c82495,cu_mat15_1_73e69417cdfa
int_0e15bfcb7d47,cu_mat15_1_73e69417cdfa
int_35323e7a4127,cu_mat15_1_73e69417cdfa
int_92a75bb0fbbb,cu_mat15_1_73e69417cdfa
int_82e6947dcf71,cu_mat15_1_73e69417cdfa
int_5c5af2cd38fd,cu_mat15_1_73e69417cdfa
int_eb6259965675,cu_mat15_1_73e69417cdfa
int_d8e959992db0,cu_eng10_1_9d2b96c6af99
int_b715b7b5be71,cu_eng10_1_9d2b96c6af99
int_dab3077a41e8,cu_eng10_1_9d2b96c6af99
int_65cf8f877795,cu_eng10_1_9d2b96c6af99
int_c2b5eaa22b49,cu_eng10_1_9d2b96c6af99
int_651bb5de3f83,cu_eng10_1_9d2b96c6af99
int_99b7b36d1566,cu_eng10_1_9d2b96c6af99
int_160a4cce0795,cu_eng10_1_9d2b96c6af99
int_189f78fffede,cu_eng10_1_9d2b96c6af99
int_026d2e1063e2,cu_eng10_1_9d2b96c6af99
int_7a7276bf1cb2,cu_eng10_1_9d2b96c6af99
int_7b3ea4f1934c,cu_eng10_1_9d2b96c6af99
int_9bc28a980086,cu_eng10_1_9d2b96c6af99
int_73f7763d3fde,cu_eng10_1_9d2b96c6af99
int_86ecd844e3f9,cu_fra21_1_c20bcf3f32ec
int_411dadfd80b1,cu_fra21_1_c20bcf3f32ec
int_21a792dd5289,cu_fra21_1_c20bcf3f32ec
int_4ad5ccd98da9,cu_fra21_1_c20bcf3f32ec
int_dfa678f82bf6,cu_fra21_1_c20bcf3f32ec
int_4c755c6aa15e,cu_fra21_1_c20bcf3f32ec
int_376f7a07671e,cu_fra21_1_c20bcf3f32ec
int_74562dbf3bb3,cu_fra21_1_c20bcf3f32ec
int_c4bbd85da885,cu_fra22_1_4e35d2063aa3
int_6aa1f72e8f27,cu_fra22_1_4e35d2063aa3
int_3556eb4141a5,cu_fra22_1_4e35d2063aa3
int_2b3718327680,cu_fra22_1_4e35d2063aa3
int_174bd4411b4e,cu_fra22_1_4e35d2063aa3
int_2c55d3a50f2d,cu_fra22_1_4e35d2063aa3
int_6f5aeb09c645,cu_fra22_1_4e35d2063aa3
int_50086b8a593e,cu_fra22_1_4e35d2063aa3
int_c6515a72f333,cu_jap10_1_b350888ffa2d
int_633fac7280e3,cu_jap10_1_b350888ffa2d
int_fabc6a63cfff,cu_jap10_1_b350888ffa2d
int_52485c486bf5,cu_jap10_1_b350888ffa2d
int_271a8e3f1eb5,cu_jap10_1_b350888ffa2d
int_1efbb7111729,cu_jap10_1_b350888ffa2d
int_05b46f2c67ae,cu_jap10_1_b350888ffa2d
int_472efd0c9dca,cu_jap11_1_b77cf2a7078e
int_4402df4797a6,cu_jap11_1_b77cf2a7078e
int_7424414f47ef,cu_jap11_1_b77cf2a7078e
int_c2dab6b53141,cu_jap11_1_b77cf2a7078e
int_3f61c43494aa,cu_jap11_1_b77cf2a7078e
int_971be43c8b47,cu_jap11_1_b77cf2a7078e
int_f10a1df014e7,cu_jap11_1_b77cf2a7078e
int_e7273d08c0d3,cu_jap11_1_b77cf2a7078e
int_c4a1d734705f,cu_jap12_1_3b08d04b08e8
int_ee72e90e9387,cu_jap12_1_3b08d04b08e8
int_aa731ca72dee,cu_jap12_1_3b08d04b08e8
int_e4a3a37c225f,cu_jap12_1_3b08d04b08e8
int_149e780547da,cu_jap12_1_3b08d04b08e8
int_0e68e0190636,cu_jap12_1_3b08d04b08e8
int_21058b0d7093,cu_spa20_1_bb005c2998d4
int_acad1b1ddd20,cu_spa10_1_20f0dae77f61
int_77e29d4d4971,cu_spa10_1_20f0dae77f61
int_9edfd444d430,cu_spa10_1_20f0dae77f61
int_71ffbd349af7,cu_spa10_1_20f0dae77f61
int_c5414ccc5f14,cu_spa10_1_20f0dae77f61
int_832dc68c3b63,cu_spa10_1_20f0dae77f61
int_956decb736f0,cu_spa10_1_20f0dae77f61
int_a8796b7f0118,cu_spa10_1_20f0dae77f61
int_56c2578f0cc6,cu_spa10_1_20f0dae77f61
int_236afbe9ef73,cu_spa13_1_47dcd5c53285
int_9d1f100e2576,cu_tys11_1_d001aa4630e2
int_68847357d18b,cu_tys11_1_d001aa4630e2
int_ddb2599679b8,cu_tys11_1_d001aa4630e2
int_5bf030b6e7c8,cu_tys11_1_d001aa4630e2
int_8fcf52528ab4,cu_tys11_1_d001aa4630e2
int_817ea7fc08f8,cu_tys11_1_d001aa4630e2
int_ec4101a720e5,cu_tys11_1_d001aa4630e2
int_4e60a64f3bdd,cu_tys11_1_d001aa4630e2
int_851bae152856,cu_tys10_1_f4a33a4ab9cf
int_78c980b70207,cu_tys10_1_f4a33a4ab9cf
int_ed5354a9c2f9,cu_tys10_1_f4a33a4ab9cf
int_a669233b1379,cu_tys10_1_f4a33a4ab9cf
int_f171317fd308,cu_tys10_1_f4a33a4ab9cf
int_d96b7e937525,cu_tys10_1_f4a33a4ab9cf
int_2a8b93b2f26f,cu_tys10_1_f4a33a4ab9cf
int_e9e4c5051361,cu_tys10_1_f4a33a4ab9cf
int_5f794a9991c7,cu_int111_1_072ee8258ee1
int_1cb166779537,cu_int111_1_072ee8258ee1
int_c7c73cec16a7,cu_int111_1_072ee8258ee1
int_1fc344820727,cu_int111_1_072ee8258ee1
int_01d805b1766e,cu_int111_1_072ee8258ee1
int_61cc59e229f7,cu_int111_1_072ee8258ee1
int_e2c7901e4b35,cu_int111_1_072ee8258ee1
int_8cc80d9fb7e6,cu_int111_1_072ee8258ee1
int_e2d76d2b3aaa,cu_int111_1_072ee8258ee1
int_a71bc8f0e519,cu_int111_1_072ee8258ee1
int_26098db3f1d0,cu_int111_1_072ee8258ee1
int_b5ae9aa2d580,cu_int111_1_072ee8258ee1
